Review ID,Review Pair ID,Worker ID,Review,Domain,Sentiment Polarity,Truth Value,URL Origin,Length in Bytes,Avg. Quality,Accuracy in Detecting Truthfulness,Avg. Star Rating,Time to Write a Review Pair (sec.),Quality Judgments,Truth vs. Deception Judgments,Star Rating Judgments,Known,Used/Stayed,URL,Plagiarized,Rejected,Cause(s) of Rejection
ID-0477,PID-0239,A3F6F3IJFJKHI8,egyd hr fhjfhjtjr rhjtjt tjfhjfwettert ryur yurutujrh rtyrdyhe dher trye ey r rhrgdtyhr,Electronics,neg,F,self,88,2.0,0.0,-1,37,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, T]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Y,Y,www.siteopsys.com/website-url-list-extractor.tool,-,REJECTED,"ITS LENGTH IS BELOW 100 BYTES --- THERE IS NO AVERAGE SENTIMENT RATING (I.E., ALL AVAILABLERATINGS ARE EITHER 0S OR NOT SUBMITTED) --- THERE WERE MORE THAN 3 0S IN THE LIE_OR_NOT_LIE TEST --- THERE WERE MORE THAN 3 0S IN THE QUALITY TEST --- THERE WERE MORE THAN 3 0S IN THE SENTIMENT TEST --- TURKER ID:A3F6F3IJFJKHI8 IS BLACKLISTED (WROTE A PURE JUNK REVIEW)"
ID-0205,PID-0103,ADSVYOL1W08WO,"I have never purchased a George Foreman grill; the infomercials alone were enough to scare me off. When I moved into my apartment a few months back, I realized that my roommate, the consummate college student, had a George Foreman Next Generation grill that he never used, and I figured it was worth a shot. Maybe the former boxing champ slapped his name on something pretty stupendous, if it's been around this long, right? The result was less than stellar.<br/><br/>I bought a couple steaks as the first and final test of the product; it's hard to screw up a good steak, after all, so regardless of how hit-or-miss the product was, I'd still eat well. The George Foreman grill took a good 15 minutes to warm up, and went from ""stone cold"" to ""nearly on fire"" almost instantaneously after that. The steaks didn't cook evenly, the non-stick surface didn't, and cleaning the thing is a nightmare unto itself. I can see how a college kid would love this thing, and for that it's fantastic. As an actual kitchen appliance, it's a waste of forty dollars. Stick to the range-top and get better results.",Electronics,neg,T,self,1091,4.4,0.8,2.0,1736,"[2, 4, 4, 4, 5, 5, 5, 5, 5, 5]","[F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 2, 2, 2, 2, 2, 2, 5]",Y,Y,http://www.georgeforemancooking.com/p-9-george-foreman-next-grilleration-removable-plate-grill.aspx,-,-,-
ID-0283,PID-0142,A2B1N5O73F9MTH,"I'll sum it up in one word: SCAM. Those people you see on the infomercial making milkshakes and nacho cheese and soup and all that other jazz definitely aren't using the same blender that I bought. First off, the blender cups are like a tenth of the size of a regular blender. What if i want to have more than half of a cup of soup, or make a milkshake that can actually fill a regular-sized glass? The first time I did try to make a milkshake with it, I filled the cup pretty full, because the magic bullet is supposed to be strong enough to handle basically anything. Bull. The blades would hardly rotate, and I had to sit there pulsing it for an hour, just to end up with a grainy, soupy mess of a milkshake. Save yourself the disappointment and go buy a nice Oster brand blender. My buddy has one, and it beats the hell out of this crappy infomercial magic bullet.",Electronics,neg,F,self,868,4.1,0.3,1.0,30,"[2, 4, 4, 4, 4, 4, 4, 5, 5, 5]","[F, F, F, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Y,Y,http://www.buythebullet.com/,-,-,-
ID-0452,PID-0226,ANSTYAFGRACOS,"When our ten year old Mr. Coffee stopped working we naturally looked at similar replacements. Most had features and functions that we never used like brew strength, timers, auto brew and so on. We get up in the morning and make coffee, simple! This coffee maker fit the bill at a very attractive price. Just put in the water, filter and coffee and hit the switch! We did not pay for features that we never use, a difficult thing to do now that everything has a micro processor and is software driven. The coffee is great and the sleek black color scheme goes with any modern kitchen, stainless steel, chrome or black.",Electronics,pos,T,self,623,4.1,0.9,4.6,577,"[3, 3, 3, 3, 4, 5, 5, 5, 5, 5]","[F, F, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T, T]","[4, 4, 4, 4, 5, 5, 5, 5, 5, 5]",Y,Y,http://www.target.com/p/Mr-Coffee-12-Cup-Switch-Coffeemaker-Black/-/A-10135494,-,-,-
ID-0187,PID-0094,A1RT05458YFIP1,"I purchased the Stanley Bostitch QuietSharp Executive Electric Pencil Sharpener about 3 weeks ago. I needed something for when my kids were doing homework, as they always break the pencils. I chose this model, as it seemed to be middle of the line. Not too cheap, and not too expensive. We've had nothing but problems. You need to shove the pencil in and hold the back of the device just to reach the blades, it skips one whole side of the pencil tip so that only one side is sharpened which leaves you writing on wood instead of lead. And, it's NOT quiet! Next time I will spend more money on something more reliable. We have wasted too many pencils (and time) on this moedel. Do NOT buy it!",Electronics,neg,T,self,697,4.4,0.6,1.0,461,"[3, 3, 4, 4, 5, 5, 5, 5, 5, 5]","[F, F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Y,Y,http://www.amazon.com/Stanley-Bostitch-QuietSharp-Executive-EPS8HD-BLK/dp/B00094C6AO/ref=sr_1_16?s=office-products&ie=UTF8&qid=1332641972&sr=1-16,-,-,-
ID-0593,PID-0297,A16JCXX8I2HXBO,The Zune MP3 player does not have a good operating system. It is not easy to use and is slow when downloading songs. It does not have enough volume and the speakers sound cheap! You cannot even see anything on the screen when outdoors. This player feels and looks cheap. Do not buy it!,Electronics,neg,D,negT,288,2.9,0.5,1.4,475,"[2, 2, 2, 2, 3, 3, 3, 4, 4, 4]","[F, F, F, F, F, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 2, 2, 3]",N,N,http://www.amazon.com/Zune-Video-MP3-Player-Black/dp/B002JPITXY/ref=amb_link_85030411_3?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=center-5&pf_rd_r=1F4FG9Q135N3NNAE4CKF&pf_rd_t=101&pf_rd_p=493051831&pf_rd_i=283468011,-,-,-
"[ID-0088, ID-0527, ID-0985, ID-0986]","[PID-0044, PID-0264, PID-0493, PID-0493]","[A1D1A4TK18MMLD, A2VKOIEIF8R3DD, A3P7ER085212GQ, A3P7ER085212GQ]","","[Electronics, Electronics, Hotels, Hotels]","[neg, neg, pos, pos]","[D, F, F, T]","[negT, self, self, self]",0,1.67,-1,-1,"[7, 7, 268, 68856]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 4, 4]",[],[],"[0, Y, Y, Y]","[-1, Y, Y, Y]","[-1, -1, http://shop.lenovo.com/us/laptops/ideapad/y-series/y460, http://www.target.com/s/blenders+proctor+silex#?ref=tgt_adv_XS000000&AFID=google&CPNG=appliances&adgroup=blenders&LNM=Blenders%20proctor%20silex&MT=broad&LID=3p240478&KID=6029c7a4-1da5-ad69-9399-00006f625f46]","[-, -, -, -]",REJECTED,"IT HAS DUPLICATES --- ITS LENGTH IS BELOW 100 BYTES --- LENGTH WAS EQUAL TO ZERO --- THERE IS NO AVERAGE SENTIMENT RATING (I.E., ALL AVAILABLERATINGS ARE EITHER 0S OR NOT SUBMITTED) --- THERE WERE MORE THAN 3 0S IN THE QUALITY TEST"
ID-1570,PID-0785,AAE9H4ZIKQS37,"I've never taken the time to write a review of a hotel before, but my experience at the Chicago Hilton was so fantastic that I had to say something. The low price for such a great room with a fantastic view and every amenity I could imagine astounded me. The rooms were pindrop silent at night and everything was spotless. It was so clean my germaphobe wife didn't even freak out a little!",Hotels,pos,D,posT,389,3.3,0.4,4.9,323,"[2, 2, 2, 2, 3, 3, 4, 5, 5, 5]","[F, F, F, F, T, T, T, T, T, T]","[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]",N,N,www.hilton.com,-,-,-
ID-0975,PID-0488,A22UAG5IMOEDCE,I mistakenly thought that since my multiple stays at other Marriott locations were excellent and clean that this location would be as well. Man was I wrong. This place is terrible. The room was very dirty and there were dead bugs everywhere. The room smelled horrible. I couldn't get the room windows open enough to help remove the smell. It took a while to find this place with all the construction in the area and the awkward road design in the area. I will never stay here again!,Hotels,neg,T,self,482,3.2,0.5,1.0,852,"[1, 2, 3, 3, 3, 3, 3, 4, 5, 5]","[F, F, F, F, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Y,Y,http://www.marriott.com/hotels/travel/lgbri-residence-inn-long-beach-downtown/,-,-,-
ID-0819,PID-0410,ANSQVDQ9BTI8O,"We got stuck in Orlando Florida and the airline put us up in a Best Western. By the time we got to the hotel it was 2am, we were tired and cranky, and the male receptionist had sharpened his teeth and finger nails into a point -- very creepy. We we got to the room it appeared to not have been cleaned at all. The carpet was wet from the air conditioner to the front of the nearest bed, the lamp shades were bent/faded and there were used test strips on the desk -- looked like it was missed simply because the test strip was the same color of the desk. I took pictures and intended on e-mailing them and a complaint to the corporate office, but never got around to it. To make matters worse, we put the do not disturb sign on the door and the hotel staff knocked on the door at 9am, 10am and 11am wanting to clean the room --- our check out time wasn't until noon. I opened the door and gave a scolding look and said they were too late for cleaning.",Hotels,neg,T,self,956,3.7,0.68,1.2,767,"[2, 2, 3, 4, 4, 4, 4, 4, 5, 5]","[0, F, F, F, F, F, F, T, T, T, T, T, T, T, T, T, T, T, T, T]","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",Y,Y,http://bestwesternflorida.com/,-,-,-
